2025-02-18 18:53:27 [main] INFO  com.ontlogieai.Main - Application starting...
2025-02-18 18:53:27 [main] INFO  com.ontlogieai.Main - Look and feel set successfully.
2025-02-18 18:53:27 [main] INFO  com.ontlogieai.Main - Application started successfully.
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J100-06-2XCV-001, Point Description: J100-06-2XCV-001 - Legionella Dump Valve, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J130-06-2TT-001, Point Description: J130-06-2TT-001 - Non Potable Water - Temperature, standardDeviceTag: J100-06-2TT-001
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J130-06-2PT-001, Point Description: J130-06-2PT-001 - Non Potable Water - Pressure, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J130-06-2FT-001, Point Description: J130-06-2FT-001 - Non Potable Water - Flow, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J305-06-2FT-001, Point Description: J305-06-2FT-001 - Compressed Air - Flow Meter, standardDeviceTag: J305-06-2FT-001
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J305-06-2PT-001, Point Description: J305-06-2PT-001 - Compressed Air - Pressure, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J305-06-2MT-001, Point Description: J305-06-2MT-001 - Compressed Air - Dewpoint, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J320-06-2FT-001, Point Description: J320-06-2FT-001 - Carbon Dioxide Gas - Flow Meter, standardDeviceTag: J305-06-2FT-001
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J320-06-2PT-001, Point Description: J320-06-2PT-001 - Carbon Dioxide Gas - Pressure, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J330-06-2FT-001, Point Description: J330-06-2FT-001 - Nitrogen Gas - Flow Meter, standardDeviceTag: J330-06-2FT-001
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J330-06-2PT-001, Point Description: J330-06-2PT-001 - Nitrogen Gas - Pressure, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J229-06-1QIT-001, Point Description: J229-06-1QIT-001 - SVK-6H - Energy Meter, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J229-06-1QIT-002, Point Description: J229-06-1QIT-002 - VK-6H-1 - Energy Meter, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J229-06-1QIT-003, Point Description: J229-06-1QIT-003 - VK-6H-2 - Energy Meter, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J229-06-1QIT-004, Point Description: J229-06-1QIT-004 - VK-6H-3 - Energy Meter, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J229-06-1QIT-005, Point Description: J229-06-1QIT-005 - VK-6H-4 - Energy Meter, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J232-06-1UPS-001, Point Description: J232-06-1UPS-001 - Parameters UPS MDF room 6th floor, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J229-06-2XA-101, Point Description: J229-06-2XA-101 - SVK-6H - Circuit Breaker Tripped, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J229-06-2XA-102, Point Description: J229-06-2XA-102 - SVK-6H - Voltage Surge Arrestor, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J229-06-2XA-103, Point Description: J229-06-2XA-103 - VK-6H-1 - Circuit Breaker Tripped, standardDeviceTag: null
